Number,StartMilliseconds,EndMilliseconds,Text
399,2847723,2852231,"It was found behind the soft palate
of a murder victim in the Elk River."
400,2852364,2855449,"- It's Buffalo Bill, isn't it?
- I can't tell you any more."
401,2855576,2859157,"- We heard about it on the radio.
- This is a clue from a real murder case?"
402,2859287,2862952,"- Cool.
- Just ignore him. He's not a PhD."
403,2863374,2866328,"Sphingid ceratomia, maybe."
404,2866461,2869212,"Boy, he's a big sucker."
405,2869630,2873164,OK. Let's check morphology.
406,2881598,2886011,"What do you do when you're
not detecting, Agent Starling?"
407,2886145,2888600,"I try to be a student, Dr Pilcher."
408,2889189,2892438,Ever go out for cheeseburgers and beer?
409,2892567,2894773,The amusing house wine?
410,2895111,2897436,"Are you hitting on me, Doctor?"
411,2897572,2898651,Yes.
412,2898781,2900572,"- Gotcha.
- What have you got?"
413,2900700,2905611,"Agent Starling, meet Mr Acherontia styx."
414,2906122,2907117,Weird.
415,2907248,2910450,"Better known to his friends
as the death's-head moth."
416,2910583,2914747,"- Where does it come from?
- It's strange. They only live in Asia."
417,2914879,2917714,"Here they'd have to be
raised from imported eggs."
418,2917841,2923843,"Somebody grew this guy. Fed him honey
and nightshade, kept him warm."
419,2923972,2926544,Somebody loved him.
420,2959931,2961970,Where are you?
421,2962934,2964973,Let me outta here!
422,2965937,2967976,Help me!
423,2971317,2973356,Please!
424,2973903,2975941,Please help me.
425,2979282,2981156,Please!
426,2981284,2983821,Why won't you answer me? Please!
427,2986789,2990122,"- Good morning. I'm Donna Feruchi.
- I'm Gene Cassel with sports."
428,2993753,2997620,"Catherine Martin, the 25-year-old
daughter of Senator Ruth Martin,"
429,2997757,3001090,"listed as missing, is now
believed to have been kidnapped"
430,3001218,3004089,"by the serial killer
known only as Buffalo Bill."
431,3004221,3007755,"Police indicate that the girl's
blouse has been identified,"
432,3007891,3012516,"sliced up the back, in what has become
a grim, all-too-familiar calling card."
433,3012644,3016428,"Young Catherine Martin is the only
daughter of Senator Ruth Martin,"
434,3016565,3018807,the Republican senator from Tennessee.
435,3018942,3022394,"Her kidnapping is not considered
to be politically motivated,"
436,3022529,3025696,"but it has stirred
the government to its highest levels."
437,3025823,3030366,"Reached for comment on the ski slopes
of Vermont, the president is said to be,"
438,3030494,3032701,"and I quote, ""intensely concerned""."
439,3032830,3037408,"Just moments ago Senator Martin
taped this dramatic personal plea."
440,3037543,3042004,"I'm speaking now to the person
who is holding my daughter."
441,3042464,3045548,Catherine is very gentle and kind.
442,3046467,3048923,Talk to her and you'll see.
443,3050017,3053109,You have the power. You are in charge.
444,3056489,3059774,I know you can feel love and compassion.
445,3061243,3065075,"You have a wonderful chance
to show the whole world"
446,3065205,3068739,"that you can be merciful
as well as strong,"
